Date,AVBLS,BLCHS,CPTRA,CPTRV,DIFF,ETRAV,ETRVU,HRATE,MIREV,MKPRU,MKTCP,MWNUS,NADDU,NTRAN,NTRAT,NTRBL,NTREP,TOTBC,TOUTV,TRFEE,TRFUS,TRVOU
2020-04-23,1.03139122137,273354.812078,41.6028773017,1.21972602552,15958652328600,135613.255573,950788113.036,103923467.233,11597010.0622,6852.52,130213733750,47912346,574265,278755,522934355,2127.90076336,273832,18339962.5,866718.352478,25.3733028,178220.413801,90394537.9036
2020-04-22,1.06824913423,273195.562353,42.2422605182,1.22197417562,15624843397600,158582.770883,1086827836.51,115730561.554,13280755.4956,6840.24,126496644925,47881705,610555,310851,522622802,2086.24832215,306264,18338162.5,810070.433541,23.37622201,161936.745606,151878158.071
2020-04-21,1.04926998758,273026.864993,46.4250848596,1.45227938087,14715214060700,142026.36156,999366645.313,117771058.637,14513595.7292,7130.04,125842198475,47840252,619559,310810,522312894,1930.49689441,305774,18336325,839780.608285,21.97670283,154876.979159,64645648.4664
2020-04-20,0.975852769737,272878.248407,54.4932067672,2.99704501553,14715214060700,63892.9346042,458165164.116,111187583.309,13731416.214,7259.36,131366871625,47802950,485888,251984,522059431,1657.78947368,247476,18334525,547594.508733,15.56965781,111572.464015,80410551.4416
2020-04-19,1.15072607595,272696.584468,49.3265191176,2.74356730577,14715214060700,72700.1688393,519833202.144,115576566.861,14261973.7786,7034.89,132618932650,47775314,562996,289134,521770657,1829.96202532,284802,18332725,613279.30285,19.2635742,137861.278559,114895300.807
2020-04-18,1.28623061417,272533.317308,39.9360818632,1.07920019666,14715214060700,151884.405975,1073444827.63,92900151.8438,11584618.6908,7112.27,129339831600,47740271,579437,284222,521486288,2237.96850394,279707,18330475,945920.019087,25.54078133,183924.940807,256066115.086
2020-04-17,1.1114904026,272361.487062,41.7948357085,1.05596023079,14715214060700,183664.854035,1278047926.54,112650577.826,13495677.8348,6623.8,129834268394,47706353,635870,322903,521163188,2096.77272727,317333,18329112.5,1109195.64761,28.64066108,198528.979185,112529486.108
2020-04-16,1.17688665089,272163.143521,46.9258048672,1.44266156616,14715214060700,148529.933867,1009167505.32,123623036.706,14558871.7375,6871.95,123578033838,47671079,612959,310253,520853679,1835.81656805,304818,18326862.5,877779.734541,26.54420742,180221.737452,107004164.243
2020-04-15,0.988374017857,271997.107445,48.7254431006,1.76962340746,14715214060700,119879.018474,824353875.169,122891539.447,14587959.1353,6857.66,126369631000,47644205,583665,299391,520554060,1782.08928571,293959,18325062.5,773028.957715,22.46964436,154671.635339,170118314.503
2020-04-14,0.929310292398,271838.380074,50.1981120036,1.3054170629,14715214060700,166833.78407,1124828313.5,125086031.223,14683700.7327,6915.37,125795269219,47608982,549230,288113,520266220,1684.87134503,283454,18322812.5,985586.612083,16.74379536,114113.232737,112654904.139
2020-04-13,0.800401980392,271715.808268,58.4156265205,3.26807842413,14715214060700,58780.7510133,408486669.553,111919080.568,13349664.7131,6891.6,130469796825,47567034,437242,228529,520037763,1493.65359477,224232,18320550,494233.050258,12.86445785,89377.2131069,59502005.484
2020-04-12,0.784763679245,271591.031375,55.2823718033,2.97444188641,14715214060700,68136.0334498,467888135.694,116308064.119,13917060.6896,6873.24,124384312500,47536373,474445,247852,519790073,1558.81761006,244111,18318750,608915.365841,13.75253175,95448.1896329,170978168.381
2020-04-11,0.900077294479,271444.314916,49.7901158868,1.30394053016,14715214060700,158397.155538,1101942938.41,119234053.154,14368680.5932,7293.69,125782409812,47499401,550585,288585,519501748,1770.4601227,284042,18316937.5,1089003.49973,20.78686915,144680.593185,118207885.65
2020-04-10,1.06938335714,271279.632472,49.6711356833,0.616098051971,14715214060700,316026.554659,2311484767.99,112650577.826,14241012.6272,7365.03,133156935469,47468624,544185,286706,519214693,1861.72727273,281112,18314687.5,1103388.49801,23.29595386,170337.190654,143615580.89
2020-04-09,1.11631186111,271117.976113,46.42072222,1.38630841,14397482597700,131533.422424,959560031.919,103061194.836,13302461.4215,7205.55,134462376469,47432901,554336,286563,518926212,1990.02083333,281017,18312887.5,760551.781892,22.6627845,165317.671524,180411335.956
2020-04-08,1.13740330357,270927.874751,49.7993840083,1.02548835411,13912524048900,209308.567754,1534435754.21,116188014.046,15735459.9608,7343.2,130585431362,47392031,598670,312770,518615989,1861.72619048,307080,18311075,1176112.64626,25.32409774,186825.7649,215734110.432
2020-04-07,1.16463585937,270778.721876,40.9503429132,0.60325735501,13912524048900,269773.307655,1903887715.83,88524201.1778,11485342.6769,6777.44,131768613525,47358544,557192,280470,518334936,2191.171875,274863,18308825,1089614.49406,20.99212028,149386.933186,61737463.0944
